"summerhit","song","lodness","tempo",""
"0","Dilemma","-8.177","168.091",""
"0","Monsoon","-5.306","111.987",""
"0","Boys, boys, boys","-5.198","108.054",""
"0","I'll Be Missing You","-5.198","108.054",""
"0","Im nin'alu 1988","-12.631","89.155",""
"0","Beetlebum","-6.619","76.022",""
"0","Nada que perder","-6.556","144.475",""
"0","Stolen Dance","-10.158","85.988",""
"0","Una calle de París","-6.837","140.012",""
"0","Murder Incorporated","-5.637","113.566",""
"0","Weather with You","-13.9","75.922",""
"0","Por la boca vive el pez","-2.812","151.229",""
"0","To Make A Big Man Cry","-7.356","102.767",""
"1","Cero","-4.193","82.032",""
"0","Party Rock Anthem","-4.136","130.021",""
"0","Teardrops","-4.58","110.968",""
"0","No me importa nada","-4.848","169.557",""
"0","1 más 1 son 7","-1.433","136.12",""
"0","Sittin' & Thinkin'","-7.727","107.652",""
"0","Me gustas tú","-6.81","175.978",""
"0","Acércate y bésame","-6.61","137.915",""
"0","Go Let It Out","-5.635","84.203",""
"1","Tómame o déjame","-5.687","78.764",""
"0","Keep the Faith","-5.603","164.591",""
"0","Bed of Roses","-5.603","164.591",""
"1","Scatman","-10.9","135.982",""
"0","Scatman's World","-10.9","135.982",""
"0","Olvídate de mí","-5.181","133.805",""
"0","Señor","-5.284","132.673",""
"0","Die Young","-4.805","128.001",""
"0","Aranjuez mon amour","-9.295","88.262",""
"0","La colegiala","-6.58","204.474",""
"0","Happy","-5.293","191.874",""
"1","Happy","-5.293","191.874",""
"0","Happy","-5.293","191.874",""
"0","All Together Now","-5.744","111.546",""
"0","Weather With You","-12.878","93.981",""
"0","Say You'll Be There","-12.878","93.981",""
"0","Me Against the Music","-6.635","120.046",""
"0","Gente impresentable","-3.902","149.607",""
"0","Where Have You Been","-7.374","128.012",""
"0","Lush Life","-3.923","98.022",""
"0","Quisiera ser","-5.516","95.012",""
"0","Si tú los vieras","-6.601","77.342",""
"0","Memorize Your Number","-9.091","145.695",""
"1","Un rayo de sol","-8.999","126.538",""
"0","Love is all Around","-6.566","168.241",""
"0","Never Can Say Goodbye","-7.984","132.18",""
"0","City Lights","-8.785","129.947",""
"0","Baby I Love Your Way","-7.269","147.518",""
"0","Cómo te atreves","-4.565","130.98",""
"0","¿No podíamos ser agua?","-6.731","135.909",""
"0","Tú","-5.808","131.467",""
"0","Hundred miles","-3.776","98.23",""
"0","Hey ya!","-2.206","79.504",""
"0","Feel This Moment","-3.589","135.958",""
"0","Feel This Moment","-3.589","135.958",""
"0","Y, ¿si fuera ella?","-6.51","116.902",""
"0","Llamando a la tierra","-6.51","116.902",""
"0","","-6.679","110",""
"0","Peter Pan","-3.358","92.452",""
"0","Peter Pan","-3.358","92.452",""
"0","Here Comes the Hotstepper","-8.598","100.36",""
"0","Te he echado de menos","-6.751","140.94",""
"0","Till the World Ends","-5.747","131.951",""
"0","Conversaciones conmigo mismo","-9.073","117.253",""
"0","Electrical Storm","-6.785","96.011",""
"0","Vivir sin aire","-6.162","79.476",""
"0","Your Woman","-6.99","172.065",""
"0","Be Gentle","-3.158","164.013",""
"0","Swing the Mood","-13.376","92.512",""
"0","Beautiful day","-6.492","136.258",""
"0","Por volverte a ver","-2.783","123.569",""
"0","Quédate","-3.967","98.003",""
"0","Quédate","-3.967","98.003",""
"0","Corazón de neón","-3.923","136.384",""
"0","Adiós papá","-10.999","136.149",""
"0","Los rockeros van al infierno","-2.488","129.312",""
"0","S&M","-5.007","127.969",""
"0","Left to my Own Devices","-6.05","126.811",""
"0","Soñaré","-8.52","124.061",""
"0","Blue Jean","-4.679","172.016",""
"0","No me vuelvo a enamorar","-4.687","130.045",""
"0","Fue tan poco tu cariño","-2.795","161.925",""
"0","River Deep Mountain High","-3.791","155.115",""
"0","Moving","-7.373","149.919",""
"0","Échame a mí la culpa","-6.23","126.083",""
"1","El talismán","-5.731","170.652",""
"0","Con solo una sonrisa","-3.942","127.988",""
"0","Club Can't Handle Me","-2.574","127.98",""
"0","Agua","-9.642","124.006",""
"0","Esperanzas","-2.989","115.048",""
"0","Abrázame y quiéreme","-2.989","115.048",""
"0","Cry Cry","-6.265","77.11",""
"0","The Centre of the Heart","-5.95","103.062",""
"0","69 Punto G","-7.719","169.867",""
"0","You Got It","-10.728","114.688",""
"0","Can't Stop the Feeling!","-5.715","113.03",""
