label,song,loud,dance,energy,tempo,variance,live
"0","Mr. Saxobeat","-4.165","0.72","0.78","127","0.93","0.14"
"1","We Found Love","-4.951","0.76","0.61","127.98","0.74","0.12"
"0","Tu mirada me hace grande","-7.883","0.52","0.73","160","0.67","0.12"
"0","Gimme The Base (DJ)","-5.964","0.7","0.66","129.03","0.75","0.11"
"0","Loca","-3.011","0.83","0.46","113.06","0.75","0.11"
"0","Barbie de extrarradio","-5.151","0.67","0.32","153.01","0.89","0.11"
"1","Blanco y negro","-3.486","0.47","0.51","168.3","0.84","0.11"
"1","Hold My Hand","-5.717","0.64","0.43","122.98","0.82","0.08"
"1","On the Floor","-4.902","0.75","0.59","100.01","0.7","0.07"
"1","Danza kuduro","-4.828","0.69","0.91","130.05","0.92","0.07"
"0","Who's That Chick?","-4.733","0.68","0.93","127.94","0.6","0.05"
"1","Love the Way You Lie","-5.014","0.75","0.64","86.96","0.92","0.52"
"1","Meet Me Halfway","-6.857","0.8","0.4","130","0.63","0.32"
"1","Tik Tok","-2.741","0.76","0.74","120.03","0.83","0.29"
"1","El run run","-5.392","0.7","0.81","129.95","0.82","0.29"
"1","Que nadie","-4.653","0.37","0.65","89.32","0.76","0.28"
"1","Happy","-5.293","0.65","0.87","191.87","0.8","0.21"
"0","Club Can't Handle Me","-2.574","0.62","0.53","127.98","0.88","0.19"
"0","Cry Cry","-6.265","0.67","0.38","77.11","0.43","0.19"
"0","Quiero aprender de ti","-6.731","0.52","0.38","153.98","0.53","0.16"
"0","Desde cuándo","-4.209","0.5","0.38","144.08","0.71","0.15"
"1","Sick Of Love","-5.382","0.7","0.46","128","0.85","0.14"
"1","Sexy Bitch","-5.018","0.81","0.8","130.01","0.63","0.13"
"0","Telephone","-5.853","0.83","0.71","122.02","0.83","0.11"
"2","Waka Waka (Esto es África)","-4.825","0.71","0.91","127.01","0.85","0.11"
"2","Waka Waka (Esto es África)","-4.825","0.71","0.91","127.01","0.85","0.11"
"1","Loca","-3.011","0.83","0.46","113.06","0.75","0.11"
"0","Loca","-3.011","0.83","0.46","113.06","0.75","0.11"
"1","Russian Roulette","-5.754","0.48","0.27","80.05","0.49","0.11"
"1","Stereo Love","-3.781","0.8","0.55","127.05","0.79","0.1"
"0","Wavin' Flag","-4.443","0.66","0.74","76","0.74","0.1"
"0","Cosas que suenan a...","-8.005","0.59","0.77","148.97","0.78","0.1"
"0","Break Your Heart","-4.217","0.61","0.57","122.01","0.93","0.09"
"1","Bad Romance","-3.755","0.7","0.71","119","0.92","0.08"
"1","Alejandro","-4.456","0.83","0.6","95.97","0.78","0.08"
"0","Alejandro","-4.456","0.83","0.6","95.97","0.78","0.08"
"1","Only Girl (In the World)","-4.159","0.79","0.71","125.92","0.71","0.07"
"1","El secreto de las tortugas","-5.483","0.55","0.89","169.95","0.88","0.07"
"1","I Gotta Feeling","-6.375","0.74","0.61","127.96","0.77","0.51"
"1","Antes de que cuente diez","-5.014","0.52","0.52","151.01","0.85","0.37"
